"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"3028","BATERIAS elétricas, SECAS, CONTENDO HIDRÓXIDO DE POTÁSSIO SÓLIDO","8","","80","","295
304","1000","2 kg","P801","","",""
"3048","PESTICIDA À BASE DE FOSFETO DE ALUMÍNIO","6.1","","642","I","153","20","ZERO","P002
IBC07","B1","T6","TP33"
"3054","CICLO-HEXIL MERCAPTANA","3","","30","III","","1000","5 L","P001 IBC03
LP01","","T2","TP1"
"3055","2-(2-AMINOETÓXI) ETANOL","8","","80","III","","1000","5 L","P001 IBC03
LP01","","T4","TP1"
"3056","n-HEPTALDEÍDO","3","","30","III","","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"3057","CLORETO DE TRIFLUORACETILA","2.3","8","268","","","20","ZERO","P200","","T50","TP21"
"3064","NITROGLICERINA, EM SOLUÇÃO ALCOÓLICA, com mais de 1% e até 5% de nitroglicerina","3","","","II","359","333","ZERO","P300","","",""
"3065","BEBIDAS ALCÓOLICAS, com mais de 70% de álcool, em volume","3","","33","II","146","333","5 L","P001
IBC02","PP2","T4","TP1"
"","BEBIDAS ÁLCÓOLICAS, com mais de 24% e até 70% de álcool, em volume","3","","30","III","144
145
247","1000","5 L","P001 IBC03","PP2","T2","TP1"
"3066","TINTA (incluindo tintas, lascas, esmaltes, tinturas, goma-lacas,vernizes, polidores, enchimentos líquidos e bases líquidas para lacas) ou MATERIAL RELACIONADO COM TINTAS (incluindo diluentes ou redutores para tintas)","8","","80","II","163","333","1 L","P001
IBC02","","T7","TP2
TP28"
"","","","","","","367","","","","","",""
"","","8","","80","III","163
223","1000","5 L","P001 IBC03","","T4","TP1 TP29"
"","","","","","","367","","","","","",""
"3070","MISTURA DE ÓXIDO DE ETILENO E DICLORODIFLUORMETANO, com até 12,5% de óxido de etileno","2.2","","20","","","1000","120 ml","P200","","T50",""
"3071","MERCAPTANAS,   TÓXICAS,   INFLAMÁVEIS,   LÍQUIDAS,   N.E.,   ou   MISTURA   DE   MERCAPTANA,   TÓXICA, INFLAMÁVEL, LÍQUIDA, N.E.","6.1","3","63","II","274","333","100 ml","P001 IBC02","","T11","TP2
TP27"
"3072","DISPOSITIVOS SALVA-VIDAS, NÃO-AUTOINFLÁVEIS, contendo produtos perigosos como equipamento","9","","90","","296","1000","ZERO","P905","","",""
"3073","VINILPIRIDINAS, ESTABILIZADAS","6.1","3
8","638","II","386","333","100 ml","P001
IBC01","","T7","TP2"
"3077","SUBSTÂNCIA QUE APRESENTA RISCO PARA O MEIO AMBIENTE, SÓLIDA, N.E.","9","","90","III","274
331
335","1000","5 kg","P002 IBC08 LP02","PP12 B3","T1","TP33"
"","","","","","","","","","","","BK2",""
"","","","","","","","","","","","BK3",""
"","","","","","","375","","","","","",""
"3078","CÉRIO, aparas de torneamento ou pó de granulação grossa","4.3","","423","II","","333","500 g","P410
IBC07","B2","T3","TP33"
"3079","METACRILONITRILA, ESTABILIZADO","6.1","3","663","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","386","","","","","",""
"","","","","","","","","","","","","TP37"
"3080","ISOCIANATOS, TÓXICOS, INFLAMÁVEIS, N.E. ou SOLUÇÃO DE ISOCIANATOS, TÓXICA, INFLAMÁVEL, N.E.","6.1","3","63","II","274","333","100 ml","P001 IBC02","","T11","TP2
TP27"
"3082","SUBSTÂNCIA QUE APRESENTA RISCO PARA O MEIO AMBIENTE, LÍQUIDA, N.E.","9","","90","III","274
331
335","1000","5 L","P001 IBC03 LP01","PP1","T4","TP1 TP29"
"","","","","","","375","","","","","",""
"3083","FLUORETO DE PERCLORILA","2.3","5.1","265","","","20","ZERO","P200","","",""
"3084","SÓLIDO CORROSIVO, OXIDANTE, N.E.","8","5.1","885","I","274","20","ZERO","P002","","T6","TP33"
"","","","","","","","","","","","",""
"","","8","5.1","85","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"3085","SÓLIDO OXIDANTE, CORROSIVO, N.E.","5.1","8","558","I","274","20","ZERO","P503","","",""
"","","5.1","8","58","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","5.1","8","58","III","223
274","1000","5 kg","P002
IBC08","B3","T1","TP33"
"3086","SÓLIDO TÓXICO, OXIDANTE, N.E.","6.1","5.1","665","I","274","20","ZERO","P002","","T6","TP33"
"","","6.1","5.1","65","II","274","333","500 g","P002
IBC06","B2","T3","TP33"
"3087","SÓLIDO OXIDANTE, TÓXICO, N.E.","5.1","6.1","556","I","274","20","ZERO","P503","","",""
"","","5.1","6.1","56","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","5.1","6.1","56","III","223
274","1000","5 kg","P002
IBC08","B3","T1","TP33"
"3088","SÓLIDO SUJEITO A AUTOAQUECIMENTO, ORGÂNICO, N.E.","4.2","","40","II","274","333","ZERO","P410
IBC06","B2","T3","TP33"
"","","4.2","","40","III","223
274","1000","ZERO","P002 IBC08
LP02","B3","T1","TP33"
"3089","METAL EM PÓ, INFLAMÁVEL, N.E.","4.1","","40","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","4.1","","40","III","223","1000","5 kg","P002
IBC08","B2, B4","T1","TP33"
"3090","BATERIAS DE LÍTIO METÁLICO (incluindo baterias de liga de lítio)","9","","90","","188
230
310
376","333","ZERO","P903","","",""
"","","","","","","","","","P908","","",""
"","","","","","","","","","P909","","",""
"","","","","","","","","","P910","","",""
"","","","","","","377","","","LP903","","",""
"","","","","","","384","","","LP904","","",""
"3091","BATERIAS DE LÍTIO METÁLICO, CONTIDAS EM EQUIPAMENTOS, ou BATERIAS DE LÍTIO METÁLICO
EMBALADAS COM EQUIPAMENTOS (incluindo beterias baterias de liga de litio) (Alterada pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","9","","90","","188","333","ZERO","P903","","",""
"","","","","","","230","","","P908","","",""
"","","","","","","310","","","P909","","",""
"","","","","","","","","","P910","","",""
"","","","","","","376","","","LP 903","","",""
"","","","","","","377","","","LP904","","",""
"","","","","","","384","","","","","",""
"3092","1-METÓXI-2-PROPANOL","3","","30","III","","1000","5 L","P001
IBC03 LP01","","T2","TP1"
"3093","LÍQUIDO CORROSIVO, OXIDANTE, N.E.","8","5.1","885","I","274","20","ZERO","P001","","",""
"","","8","5.1","85","II","274","333","1 L","P001
IBC02","","",""
"3094","LÍQUIDO CORROSIVO, QUE REAGE COM ÁGUA, N.E.","8","4.3","823","I","274","20","ZERO","P001","","",""
"","","8","4.3","823","II","274","333","1 L","P001","","",""
"3095","SÓLIDO CORROSIVO, SUJEITO A AUTOAQUECIMENTO, N.E.","8","4.2","884","I","274","20","ZERO","P002","","T6","TP33"
"","","8","4.2","84","II","274","333","1 kg","P002","","T3","TP33"
"","","","","","","","","","IBC06","B2","",""
"3096","SÓLIDO CORROSIVO, QUE REAGE COM ÁGUA, N.E.","8","4.3","842","I","274","20","ZERO","P002","","T6","TP33"
"","","8","4.3","842","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"3097","SÓLIDO INFLAMÁVEL, OXIDANTE, N.E.","4.1","5.1","45","II","274","ZERO","1 kg","P099","","",""
"","","4.1","5.1","45","III","223
274","ZERO","5 kg","P099","","T1","TP33"
"3098","LÍQUIDO OXIDANTE, CORROSIVO, N.E.","5.1","8","558","I","274","20","ZERO","P502","","",""
"","","5.1","8","58","II","274","333","1 L","P504
IBC01","","",""
"","","5.1","8","58","III","223
274","1000","5 L","P504
IBC02","","",""
"3099","LÍQUIDO OXIDANTE, TÓXICO, N.E.","5.1","6.1","556","I","274","20","ZERO","P502","","",""
"","","5.1","6.1","56","II","274","333","1 L","P504
IBC01","","",""
"","","5.1","6.1","56","III","223
274","1000","5 L","P504
IBC02","","",""
"3100","SÓLIDO  OXIDANTE,  SUJEITO  A  AUTOAQUECIMENTO,  N.E.  (Alterado  pela  Resolução  ANTT  nº  5.581,  de  22  de
novembro de 2017)","5.1","4.2","554","I","274","ZERO","ZERO","P099","","",""
"","","5.1","4.2","554","II","274","ZERO","ZERO","P099","","",""
"3101","PERÓXIDO ORGÂNICO, TIPO B, LÍQUIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
181
195
274","20","25 ml","P520","","",""
"3102","PERÓXIDO ORGÂNICO, TIPO B, SÓLIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
181
195
274","20","100 g","P520","","",""
"3103","PERÓXIDO ORGÂNICO, TIPO C, LÍQUIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
195
274","20","25 ml","P520","","",""
"3104","PERÓXIDO ORGÂNICO, TIPO C, SÓLIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
195
274","20","100 g","P520","","",""
"3105","PERÓXIDO ORGÂNICO, TIPO D, LÍQUIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","333","125 ml","P520","","",""
"3106","PERÓXIDO ORGÂNICO, TIPO D, SÓLIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","333","500 g","P520","","",""
"3107","PERÓXIDO ORGÂNICO, TIPO E, LÍQUIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","333","125 ml","P520","","",""
"3108","PERÓXIDO ORGÂNICO, TIPO E, SÓLIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","333","500 g","P520","","",""
"3109","PERÓXIDO ORGÂNICO, TIPO F, LÍQUIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","333","125 ml","P520 IBC520","","T23",""
"3110","PERÓXIDO ORGÂNICO, TIPO F, SÓLIDO (Alterado pela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","333","500 g","P520 IBC520","","T23","TP33"
"3111","PERÓXIDO  ORGÂNICO,  TIPO  B,  LÍQUIDO,  TEMPERATURA  CONTROLADA  (Alterado  pela  Resolução  ANTT  nº
5.581, de 22 de novembro de 2017)","5.2","","539","","122
181
195
274","20","ZERO","P520","","",""
"3112","PERÓXIDO ORGÂNICO, TIPO B, SÓLIDO, TEMPERATURA CONTROLADA (Alterado pela Resolução ANTT nº 5.581,
de 22 de novembro de 2017)","5.2","","539","","122
181
195
274","20","ZERO","P520","","",""
"3113","PERÓXIDO  ORGÂNICO,  TIPO  C,  LÍQUIDO,  TEMPERATURA  CONTROLADA  (Alterado  pela  Resolução  ANTT  nº
5.581, de 22 de novembro de 2017)","5.2","","539","","122
195
274","20","ZERO","P520","","",""
"3114","PERÓXIDO ORGÂNICO, TIPO C, SÓLIDO, TEMPERATURA CONTROLADA (Alterado pela Resolução ANTT nº 5.581,
de 22 de novembro de 2017)","5.2","","539","","122
195
274","20","ZERO","P520","","",""
"3115","PERÓXIDO  ORGÂNICO,  TIPO  D,  LÍQUIDO,  TEMPERATURA  CONTROLADA  (Alterado  pela  Resolução  ANTT  nº
5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","20","ZERO","P520","","",""
"3116","PERÓXIDO ORGÂNICO, TIPO D, SÓLIDO, TEMPERATURA CONTROLADA (Alterado pela Resolução ANTT nº 5.581,
de 22 de novembro de 2017)","5.2","","539","","122
274","20","ZERO","P520","","",""
"3117","PERÓXIDO  ORGÂNICO,  TIPO  E,  LÍQUIDO,  TEMPERATURA  CONTROLADA  (Alterado  pela  Resolução  ANTT  nº
5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","20","ZERO","P520","","",""
"3118","PERÓXIDO ORGÂNICO, TIPO E, SÓLIDO, TEMPERATURA CONTROLADA (Alterado pela Resolução ANTT nº 5.581,
de 22 de novembro de 2017)","5.2","","539","","122
274","20","ZERO","P520","","",""
"3119","PERÓXIDO  ORGÂNICO,  TIPO  F,  LÍQUIDO,  TEMPERATURA  CONTROLADA  (Alterado  pela  Resolução  ANTT  nº
5.581, de 22 de novembro de 2017)","5.2","","539","","122
274","20","ZERO","P520 IBC520","","T23",""
"3120","PERÓXIDO ORGÂNICO, TIPO F, SÓLIDO, TEMPERATURA CONTROLADA (Alterado pela Resolução ANTT nº 5.581,
de 22 de novembro de 2017)","5.2","","539","","122
274","20","ZERO","P520 IBC520","","T23","TP33"
"3121","SÓLIDO OXIDANTE, QUE REAGE COM ÁGUA, N.E.","5.1","4.3","452","I","274","20","ZERO","P099","","",""
"","","5.1","4.3","452","II","274","ZERO","1 kg","P099","","",""
"3122","LÍQUIDO TÓXICO, OXIDANTE, N.E.","6.1","5.1","665","I","274
315","20","ZERO","P001","","",""
"","","6.1","5.1","65","II","274","333","100 ml","P001
IBC02","","",""
"3123","LÍQUIDO TÓXICO, QUE REAGE COM ÁGUA, N.E.","6.1","4.3","623","I","274
315","20","ZERO","P099","","",""
"","","6.1","4.3","623","II","274","333","100 ml","P001
IBC02","","",""
"3124","SÓLIDO TÓXICO, SUJEITO A AUTOAQUECIMENTO, N.E.","6.1","4.2","664","I","274","20","ZERO","P002","","T6","TP33"
"","","6.1","4.2","64","II","274","333","ZERO","P002
IBC06","B2","T3","TP33"
"3125","SÓLIDO TÓXICO, QUE REAGE COM ÁGUA, N.E.","6.1","4.3","642","I","274","20","ZERO","P099","","T6","TP33"
"","","6.1","4.3","642","II","274","333","500 g","P002
IBC06","B2","T3","TP33"
"3126","SÓLIDO SUJEITO A AUTOAQUECIMENTO, CORROSIVO, ORGÂNICO, N.E.","4.2","8","48","II","274","333","ZERO","P410
IBC05","B2","T3","TP33"
"","","4.2","8","48","III","223
274","1000","ZERO","P002
IBC08","B3","T1","TP33"
"3127","SÓLIDO SUJEITO A AUTOAQUECIMENTO, OXIDANTE, N.E.","4.2","5.1","45","II","274","333","ZERO","P099","","T3","TP33"
"","","4.2","5.1","45","III","223
274","ZERO","ZERO","P099","","T1","TP33"
"3128","SÓLIDO SUJEITO A AUTOAQUECIMENTO, TÓXICO, ORGÂNICO, N.E.","4.2","6.1","46","II","274","333","ZERO","P410
IBC05","B2","T3","TP33"
"","","4.2","6.1","46","III","223
274","1000","ZERO","P002
IBC08","B3","T1","TP33"
"3129","LÍQUIDO QUE REAGE COM ÁGUA, CORROSIVO, N.E.","4.3","8","X382","I","274","ZERO","ZERO","P402","","T14","TP2"
"","","","","","","","","","","","","TP7"
"","","","","","","","","","","","",""
"","","4.3","8","382","II","274","ZERO","500 ml","P402
IBC01","","T11","TP2"
"","","","","","","","","","","","","TP7"
"","","4.3","8","382","III","223","ZERO","1L","P001","","T7","TP2"
"","","","","","","274","","","IBC02","","","TP7"
"3130","LÍQUIDO QUE REAGE COM ÁGUA, TÓXICO, N.E.","4.3","6.1","X362","I","274","ZERO","ZERO","P402","","",""
"","","4.3","6.1","362","II","274","ZERO","500 ml","P402
IBC01","","",""
"","","4.3","6.1","362","III","223
274","ZERO","1 L","P001
IBC02","","",""
"3131","SÓLIDO QUE REAGE COM ÁGUA, CORROSIVO, N.E.","4.3","8","X482","I","274","ZERO","ZERO","P403","","T9","TP7"
"","","","","","","","","","","","","TP33"
"","","4.3","8","482","II","274","ZERO","500 g","P410","B2","T3","TP33"
"","","","","","","","","","IBC06","","",""
"","","4.3","8","482","III","223","ZERO","1Kg","P410","B4","T1","TP33"
"","","","","","","274","","","IBC08","","",""
"3132","SÓLIDO QUE REAGE COM ÁGUA, INFLAMÁVEL, N.E.","4.3","4.1","X423","I","274","ZERO","ZERO","P403
IBC99","","",""
"","","4.3","4.1","423","II","274","ZERO","500 g","P410
IBC04","","T3","TP33"
"","","4.3","4.1","423","III","223
274","ZERO","1 kg","P410
IBC06","","T1","TP33"
"3133","SÓLIDO QUE REAGE COM ÁGUA, OXIDANTE, N.E.","4.3","5.1","452","II","274","ZERO","500 g","P099","","",""
"","","4.3","5.1","452","III","223
274","ZERO","1 kg","P099","","",""
"3134","SÓLIDO QUE REAGE COM ÁGUA, TÓXICO, N.E.","4.3","6.1","X462","I","274","ZERO","ZERO","P403","","",""
"","","4.3","6.1","462","II","274","ZERO","500 g","P410","","T3","TP33"
"","","","","","","","","","IBC05","B2","",""
"","","4.3","6.1","462","III","223
274","ZERO","1 kg","P410
IBC08","B4","T1","TP33"
"3135","SÓLIDO QUE REAGE COM ÁGUA, SUJEITO A AUTOAQUECIMENTO, N.E.","4.3","4.2","X423","I","274","ZERO","ZERO","P403","","",""
"","","4.3","4.2","423","II","274","20","ZERO","P410
IBC05","B2","T3","TP33"
"","","4.3","4.2","423","III","223
274","333","ZERO","P410
IBC08","B4","T1","TP33"
"3136","TRIFLUORMETANO, LÍQUIDO REFRIGERADO","2.2","","22","","","1000","120 ml","P203","","T75","TP5"
"3137","SÓLIDO OXIDANTE, INFLAMÁVEL, N.E.","5.1","4.1","453","I","274","20","ZERO","P099","","",""
"3138","MISTURA  DE  ETILENO,  ACETILENO  E  PROPILENO,  LÍQUIDA  REFRIGERADA  contendo,  no  mínimo  71,5%  de
etileno, até 22,5% de acetileno e até 6% de propileno","2.1","","223","","","333","ZERO","P203","","T75","TP5"
"3139","LÍQUIDO OXIDANTE, N.E.","5.1","","55","I","274","20","ZERO","P502","","",""
"","","5.1","","50","II","274","333","1 L","P504
IBC02","","",""
"","","5.1","","50","III","223
274","1000","5 L","P504
IBC02","","",""
"3140","ALCALÓIDES, LÍQUIDOS, N.E. ou SAIS DE ALCALÓIDES, LÍQUIDOS, N.E.","6.1","","66","I","43
274","20","ZERO","P001","","",""
"","","6.1","","60","II","43
274","333","100 ml","P001
IBC02","","",""
"","","6.1","","60","III","43
223
274","333","5 L","P001 IBC03
LP01","","",""
"3141","ANTIMÔNIO, COMPOSTO INORGÂNICO, LÍQUIDO, N.E.","6.1","","60","III","45
274","333","5 L","P001 IBC03
LP01","","",""
"3142","DESINFETANTE, TÓXICO, LÍQUIDO, N.E.","6.1","","66","I","274","20","ZERO","P001","","",""
"","","6.1","","60","II","274","333","100 ml","P001
IBC02","","",""
"","","6.1","","60","III","223
274","333","5 L","P001 IBC03
LP01","","",""
"3143","CORANTE, TÓXICO, SÓLIDO, N.E., ou INTERMEDIÁRIO PARA CORANTES, TÓXICO, SÓLIDO, N.E.","6.1","","66","I","274","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","6.1","","60","II","274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","223
274","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"3144","NICOTINA COMPOSTO, LÍQUIDO, N.E. ou NICOTINA PREPARAÇÃO, LÍQUIDA, N.E.","6.1","","66","I","43","20","ZERO","P001","","",""
"","","","","","","274","","","","","",""
"","","6.1","","60","II","43","333","100 ml","P001","","",""
"","","","","","","274","","","IBC02","","",""
"","","6.1","","60","III","43
223","333","5 L","P001
IBC03","","",""
"","","","","","","274","","","LP01","","",""
"3145","ALQUILFENÓIS, LÍQUIDOS, N.E. (incluindo os homólogos C2-C12)","8","","88","I","","20","ZERO","P001","","T14","TP2"
"","","8","","80","II","","333","1 L","P001","","T11","TP2"
"","","","","","","","","","IBC02","","","TP27"
"","","8","","80","III","223","1000","5 L","P001 IBC03
LP01","","T7","TP1 TP28"
"3146","ESTANHO COMPOSTO ORGÂNICO, SÓLIDO, N.E.","6.1","","66","I","43
274","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","6.1","","60","II","43
274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","43
223
274","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"3147","CORANTE, CORROSIVO, SÓLIDO, N.E., ou INTERMEDIÁRIO PARA CORANTES, CORROSIVO, SÓLIDO, N.E.","8","","88","I","274","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","8","","80","II","274","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","8","","80","III","223
274","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"3148","LÍQUIDO QUE REAGE COM ÁGUA, N.E.","4.3","","X323","I","274","ZERO","ZERO","P402","","T13","TP2"
"","","","","","","","","","","","","TP7"
"","","","","","","","","","","","","TP38"
"","","4.3","","323","II","274","ZERO","500 ml","P402
IBC01","","T7","TP2"
"","","","","","","","","","","","","TP7"
"","","4.3","","323","III","223","ZERO","1 L","P001","","T7","TP2"
"","","","","","","274","","","IBC02","","","TP7"
"3149","MISTURA DE PERÓXIDO DE HIDROGÊNIO E ÁCIDO PERACÉTICO, com ácido(s), água e, no máximo, 5%  de ácido peracético, ESTABILIZADA","5.1","8","58","II","196","333","1 L","P504 IBC02","PP10 B5","T7","TP2
TP6 TP24"
"3150","DISPOSITIVOS,     PEQUENOS,     ACIONADOS     POR     HIDROCARBONETOS     GASOSOS,     ou     RECARGA     DE HIDROCARBONETOS GASOSOS PARA PEQUENOS DISPOSITIVOS, com difusor","2.1","","23","","","333","ZERO","P003","","",""
"3151","BIFENILAS POLIHALOGENADAS, LÍQUIDAS ou MONOMETILDIFENILAS-METANOS HALOGENADAS, LÍQUIDAS
ou TERFENILAS POLIHALOGENADAS, LÍQUIDAS","9","","90","II","203
305","ZERO","1 L","P906
IBC02","","",""
"3152","BIFENILAS  POLIHALOGENADAS,  SÓLIDAS  ou  MONOMETILDIFENILAS-METANOS  HALOGENADAS,  SÓLIDAS
ou TERFENILAS POLIHALOGENADAS, SÓLIDAS","9","","90","II","203
305","ZERO","1 kg","P906
IBC08","B2, B4","T3","TP33"
"3153","PERFLUOR (ÉTER METILVINÍLICO)","2.1","","23","","","333","ZERO","P200","","T50",""
"3154","PERFLUOR (ÉTER ETILVINÍLICO)","2.1","","23","","","333","ZERO","P200","","",""
"3155","PENTACLOROFENOL","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"3156","GÁS OXIDANTE, COMPRIMIDO, N.E.","2.2","5.1","25","","274","1000","ZERO","P200","","",""
"3157","GÁS OXIDANTE, LIQUEFEITO, N.E.","2.2","5.1","25","","274","1000","ZERO","P200","","",""
"3158","GÁS LÍQUIDO REFRIGERADO, N.E.","2.2","","22","","274","1000","120 ml","P203","","T75","TP5"
"3159","1,1,1,2-TETRAFLUORETANO (GÁS REFRIGERANTE R 134 a)","2.2","","20","","","1000","120 ml","P200","","T50",""
"3160","GÁS TÓXICO, INFLAMÁVEL, LIQUEFEITO, N.E.","2.3","2.1","263","","274","20","ZERO","P200","","",""
"3161","GÁS INFLAMÁVEL, LIQUEFEITO, N.E.","2.1","","23","","274","333","ZERO","P200","","T50",""
"3162","GÁS TÓXICO, LIQUEFEITO, N.E.","2.3","","26","","274","20","ZERO","P200","","",""
"3163","GÁS LIQUEFEITO, N.E.","2.2","","20","","274","1000","120 ml","P200","","T50",""
"3164","ARTIGOS PRESSURIZADOS PNEUMÁTICOS ou HIDRÁULICOS (contendo gás não-inflamável)","2.2","","20","","283","1000","120 ml","P003","","",""
"","","","","","","371","","","","","",""
"3165","TANQUE  DE  COMBUSTÍVEL  DE  UNIDADE  DE  FORÇA  HIDRÁULICA  PARA  AERONAVE  (contendo  mistura  de
hidrazina anidra e metilhidrazina) (combustível M86)","3","6.1
8","336","I","","20","ZERO","P301","","",""
"3166","VEÍCULO, MOVIDO A GÁS INFLAMÁVEL ou VEÍCULO, MOVIDO A LÍQUIDO INFLAMÁVEL ou VEÍCULO, COM PILHA  DE  COMBUSTÍVEL,  MOVIDO  A  GÁS  INFLAMÁVEL  ou  VEÍCULO,  COM  PILHA  DE  COMBUSTÍVEL, MOVIDO A LÍQUIDO INFLAMÁVEL","PRODUTO NÃO SUJEITO AO REGULAMENTO DO TRANSPORTE TERRESTRE DE PRODUTOS PERIGOSOS","","","","","","","","","",""
"3167","GÁS INFLAMÁVEL, NÃO-PRESSURIZADO, AMOSTRA, N.E., não-líquido refrigerado","2.1","","23","","209","333","ZERO","P201","","",""
"3168","GÁS TÓXICO, INFLAMÁVEL, NÃO-PRESSURIZADO, AMOSTRA, N.E., não-líquido refrigerado","2.3","2.1","263","","209","20","ZERO","P201","","",""
"3169","GÁS TÓXICO, NÃO-PRESSURIZADO, AMOSTRA, N.E., não-líquido refrigerado","2.3","","26","","209","20","ZERO","P201","","",""
"3170","ALUMÍNIO, SUBPRODUTOS DA FUNDIÇÃO, ou ALUMÍNIO, SUBPRODUTOS DA REFUNDIÇÃO","4.3","","423","II","244","333","500 g","P410 IBC07","B2","T3 BK2","TP33"
"","","4.3","","423","III","223
244","1000","1 kg","P002
IBC08","B4","T1
BK2","TP33"
"3171","VEÍCULO MOVIDO A BATERIA, ou EQUIPAMENTO MOVIDO A BATERIA","PRODUTO NÃO SUJEITO AO REGULAMENTO DO TRANSPORTE TERRESTRE DE PRODUTOS PERIGOSOS","","","","","","","","","",""
"3172","TOXINAS EXTRAÍDAS DE FONTES VIVAS, LÍQUIDAS, N.E.","6.1","","66","I","210
274","20","ZERO","P001","","",""
"","","6.1","","60","II","210
274","333","100 ml","P001
IBC02","","",""
"","","6.1","","60","III","210
223
274","333","5 L","P001 IBC03
LP01","","",""
"3174","DISSULFETO DE TITÂNIO","4.2","","40","III","","1000","ZERO","P002 IBC08
LP02","B3","T1","TP33"
"3175","SÓLIDOS CONTENDO LÍQUIDO INFLAMÁVEL, N.E.","4.1","","40","II","216
274","333","1 kg","P002 IBC06","PP9 B2","T3 BK1
BK2","TP33"
"3176","SÓLIDO INFLAMÁVEL, ORGÂNICO, FUNDIDO, N.E.","4.1","","44","II","274","333","ZERO","","","T3","TP3
TP26"
"","","4.1","","44","III","223
274","1000","ZERO","IBC01","","T1","TP3
TP26"
"3178","SÓLIDO INFLAMÁVEL, INORGÂNICO, N.E.","4.1","","40","II","274","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","4.1","","40","III","223
274","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"3179","SÓLIDO INFLAMÁVEL, TÓXICO, INORGÂNICO, N.E.","4.1","6.1","46","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","4.1","6.1","46","III","223
274","1000","5 kg","P002
IBC06","","T1","TP33"
"3180","SÓLIDO INFLAMÁVEL, CORROSIVO, INORGÂNICO, N.E.","4.1","8","48","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","4.1","8","48","III","223
274","1000","5 kg","P002
IBC06","","T1","TP33"
"3181","SAIS METÁLICOS DE COMPOSTOS ORGÂNICOS, INFLAMÁVEIS, N.E.","4.1","","40","II","274","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","4.1","","40","III","223
274","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"3182","HIDRETOS METÁLICOS, INFLAMÁVEIS, N.E.","4.1","","40","II","274","333","1 kg","P410","PP40","T3","TP33"
"","","","","","","","","","IBC04","","",""
"","","4.1","","40","III","223
274","1000","5 kg","P002
IBC04","","T1","TP33"
"3183","LÍQUIDO SUJEITO A AUTOAQUECIMENTO, ORGÂNICO, N.E.","4.2","","30","II","274","333","ZERO","P001
IBC02","","",""
"","","4.2","","30","III","223
274","1000","ZERO","P001
IBC02","","",""
"3184","LÍQUIDO SUJEITO A AUTOAQUECIMENTO, TÓXICO, ORGÂNICO, N.E.","4.2","6.1","36","II","274","333","ZERO","P402
IBC02","","",""
"","","4.2","6.1","36","III","223
274","1000","ZERO","P001
IBC02","","",""
"3185","LÍQUIDO SUJEITO A AUTOAQUECIMENTO, CORROSIVO, ORGÂNICO, N.E.","4.2","8","38","II","274","333","ZERO","P402
IBC02","","",""
